OrderID,Date,Product,Category,BaseCost,SellingPrice,Quantity,TotalSales,CustomerName,CustomerLocation,PaymentMethod,Status
ORD76,05-03-2018,Washing Machine,Home Appliances,16000,19200,1,19200,Harsh Desai,Hyderabad,Amazon Pay,Completed
ORD77,06-03-2018,Headphones,Electronics,2500,3000,2,6000,Ishika Yadav,Pune,Credit Card,Completed
ORD78,07-03-2018,Smartwatch,Electronics,2000,2450,2,4900,Jatin Jain,Ahmedabad,Gift Card,Cancelled
ORD79,07-03-2018,Running Shoes,Footwear,2250,2925,2,5850,Kavya Reddy,Jaipur,Gift Card,Cancelled
ORD80,07-03-2018,Running Shoes,Footwear,2250,2925,4,11700,Lakshya Menon,Lucknow,Debit Card,Pending
ORD81,08-03-2018,Headphones,Electronics,2500,3000,3,9000,Meher Sharma,Bengaluru,PayPal,Cancelled
ORD82,08-03-2018,Smartphone,Electronics,5991,6679.97,3,20039.91,Neel Singh,Mumbai,Debit Card,Cancelled
ORD83,09-03-2018,Washing Machine,Home Appliances,16000,19200,4,76800,Ojas Gupta,Delhi,Gift Card,Cancelled
ORD84,11-03-2018,T-Shirt,Clothing,749,1160.95,5,5804.75,Parth Patel,Chennai,PayPal,Completed
ORD85,12-03-2018,Smartphone,Electronics,5991,6679.97,5,33399.85,Palak Kumar,Kolkata,PayPal,Completed
ORD86,13-03-2018,Smartwatch,Electronics,2000,2450,5,12250,Quasar Desai,Hyderabad,PayPal,Cancelled
ORD87,13-03-2018,Running Shoes,Footwear,2250,2925,5,14625,Rashi Yadav,Pune,Debit Card,Completed
ORD88,13-03-2018,Refrigerator,Home Appliances,20000,23000,2,46000,Shlok Jain,Ahmedabad,Debit Card,Pending
ORD89,13-03-2018,Running Shoes,Footwear,2250,2925,5,14625,Shruti Reddy,Jaipur,Credit Card,Cancelled
ORD90,14-03-2018,Smartwatch,Electronics,2000,2450,5,12250,Tathya Menon,Lucknow,Amazon Pay,Completed
ORD91,15-03-2018,Laptop,Electronics,37500,44062.5,4,176250,Urvashi Sharma,Bengaluru,Gift Card,Pending
ORD92,15-03-2018,Smartphone,Electronics,5991,6679.97,2,13359.94,Varun Singh,Mumbai,PayPal,Cancelled
ORD93,16-03-2018,Refrigerator,Home Appliances,20000,23000,5,115000,Vidhi Gupta,Delhi,PayPal,Cancelled
ORD94,16-03-2018,Jeans,Clothing,1600,2320,5,11600,Waman Patel,Chennai,Credit Card,Cancelled
ORD95,17-03-2018,Smartwatch,Electronics,2000,2450,4,9800,Xylo Kumar,Kolkata,Debit Card,Cancelled
ORD96,20-03-2018,Smartwatch,Electronics,2000,2450,3,7350,Yuvraj Desai,Hyderabad,Amazon Pay,Completed
ORD97,20-03-2018,Book,Books,200,230,5,1150,Zia Yadav,Pune,Amazon Pay,Pending
ORD98,21-03-2018,Smartwatch,Electronics,2000,2450,2,4900,Kairav Singh,Mumbai,PayPal,Pending
ORD99,22-03-2018,Washing Machine,Home Appliances,16000,19200,5,96000,Vidhi Gupta,Delhi,Debit Card,Completed
ORD100,22-03-2018,Running Shoes,Footwear,2250,2925,1,2925,Kiara Kumar,Kolkata,Gift Card,Cancelled
ORD101,23-03-2018,Book,Books,200,230,5,1150,Deepika Singh,Mumbai,PayPal,Pending
ORD102,25-03-2018,Smartphone,Electronics,5991,6679.97,2,13359.94,Vihan Sharma,Bengaluru,PayPal,Pending
ORD103,25-03-2018,T-Shirt,Clothing,749,1160.95,2,2321.9,Om Sharma,Bengaluru,PayPal,Pending
ORD104,25-03-2018,Jeans,Clothing,1600,2320,5,11600,Ojas Gupta,Delhi,Debit Card,Pending
ORD105,25-03-2018,Jeans,Clothing,1600,2320,1,2320,Rashi Yadav,Pune,Debit Card,Pending
ORD106,26-03-2018,T-Shirt,Clothing,749,1160.95,3,3482.85,Gagan Kumar,Kolkata,PayPal,Pending
ORD107,30-03-2018,Jeans,Clothing,1600,2320,3,6960,Gagan Kumar,Kolkata,Credit Card,Cancelled
ORD108,31-03-2018,Headphones,Electronics,2500,3000,2,6000,Shlok Jain,Ahmedabad,PayPal,Pending
ORD109,31-03-2018,Jeans,Clothing,1600,2320,5,11600,Rishabh Patel,Chennai,PayPal,Completed
ORD110,31-03-2018,Smartphone,Electronics,5991,6679.97,5,33399.85,Advik Gupta,Delhi,Amazon Pay,Pending
ORD111,31-03-2018,Laptop,Electronics,37500,44062.5,4,176250,Pari Singh,Mumbai,Credit Card,Completed
ORD112,01-04-2018,Washing Machine,Home Appliances,16000,19200,2,38400,Lara Gupta,Delhi,Gift Card,Cancelled
ORD113,01-04-2018,Book,Books,200,230,5,1150,Aditi Singh,Mumbai,Debit Card,Pending
ORD114,04-04-2018,Running Shoes,Footwear,2250,2925,1,2925,Shlok Jain,Ahmedabad,Credit Card,Pending
ORD115,05-04-2018,Running Shoes,Footwear,2250,2925,3,8775,Sara Menon,Lucknow,Amazon Pay,Completed
ORD116,06-04-2018,Laptop,Electronics,37500,44062.5,4,176250,Vedika Jain,Ahmedabad,Amazon Pay,Completed
ORD117,07-04-2018,T-Shirt,Clothing,749,1160.95,1,1160.95,Aditi Singh,Mumbai,Credit Card,Completed
ORD118,10-04-2018,Headphones,Electronics,2500,3000,5,15000,Yuvaan Patel,Chennai,Amazon Pay,Completed
ORD119,10-04-2018,Smartphone,Electronics,5991,6679.97,2,13359.94,Tanish Menon,Lucknow,PayPal,Pending
ORD120,11-04-2018,Laptop,Electronics,37500,44062.5,5,220312.5,Om Sharma,Bengaluru,PayPal,Completed
ORD121,11-04-2018,Smartphone,Electronics,5991,6679.97,1,6679.97,Tanvi Gupta,Delhi,Gift Card,Pending
ORD122,13-04-2018,Laptop,Electronics,37500,44062.5,3,132187.5,Harsh Desai,Hyderabad,Credit Card,Cancelled
ORD123,14-04-2018,Book,Books,200,230,3,690,Shanaya Jain,Ahmedabad,Gift Card,Cancelled
ORD124,17-04-2018,Book,Books,200,230,1,230,Pari Singh,Mumbai,Gift Card,Pending
ORD125,18-04-2018,Smartphone,Electronics,5991,6679.97,1,6679.97,Shruti Reddy,Jaipur,Amazon Pay,Completed
ORD126,18-04-2018,Refrigerator,Home Appliances,20000,23000,5,115000,Gia Reddy,Jaipur,Gift Card,Pending
ORD127,18-04-2018,T-Shirt,Clothing,749,1160.95,3,3482.85,Urvashi Sharma,Bengaluru,Debit Card,Completed
ORD128,19-04-2018,Smartwatch,Electronics,2000,2450,2,4900,Sia Reddy,Jaipur,PayPal,Cancelled
ORD129,19-04-2018,Jeans,Clothing,1600,2320,5,11600,Advait Singh,Mumbai,Debit Card,Pending
ORD130,22-04-2018,Smartwatch,Electronics,2000,2450,5,12250,Varun Singh,Mumbai,PayPal,Completed
ORD131,25-04-2018,Jeans,Clothing,1600,2320,2,4640,Tanish Menon,Lucknow,Credit Card,Pending
ORD132,25-04-2018,Smartphone,Electronics,5991,6679.97,2,13359.94,Lakshya Menon,Lucknow,Debit Card,Pending
ORD133,27-04-2018,Laptop,Electronics,37500,44062.5,1,44062.5,Kiara Kumar,Kolkata,Amazon Pay,Pending
ORD134,29-04-2018,Smartphone,Electronics,5991,6679.97,5,33399.85,Vrinda Singh,Mumbai,Gift Card,Pending
ORD135,29-04-2018,T-Shirt,Clothing,749,1160.95,1,1160.95,Vrinda Singh,Mumbai,Credit Card,Pending
ORD136,29-04-2018,Refrigerator,Home Appliances,20000,23000,2,46000,Dhruv Yadav,Pune,PayPal,Cancelled
ORD137,30-04-2018,Smartwatch,Electronics,2000,2450,3,7350,Vrinda Singh,Mumbai,Debit Card,Completed
ORD138,30-04-2018,Smartwatch,Electronics,2000,2450,5,12250,Ira Sharma,Bengaluru,Credit Card,Cancelled
ORD139,03-05-2018,Laptop,Electronics,37500,44062.5,2,88125,Naisha Kumar,Kolkata,PayPal,Cancelled
ORD140,04-05-2018,Smartwatch,Electronics,2000,2450,2,4900,Yuvaan Patel,Chennai,Debit Card,Completed
ORD141,05-05-2018,Smartphone,Electronics,5991,6679.97,2,13359.94,Advik Gupta,Delhi,PayPal,Completed
ORD142,05-05-2018,Smartphone,Electronics,5991,6679.97,3,20039.91,Ira Sharma,Bengaluru,Gift Card,Completed
ORD143,05-05-2018,Refrigerator,Home Appliances,20000,23000,2,46000,Ayush Yadav,Pune,PayPal,Cancelled
ORD144,07-05-2018,Jeans,Clothing,1600,2320,2,4640,Om Sharma,Bengaluru,Gift Card,Cancelled
ORD145,07-05-2018,Smartwatch,Electronics,2000,2450,2,4900,Eklavya Gupta,Delhi,Debit Card,Cancelled
ORD146,08-05-2018,Smartwatch,Electronics,2000,2450,2,4900,Vivaan Reddy,Jaipur,Debit Card,Completed
ORD147,08-05-2018,Running Shoes,Footwear,2250,2925,5,14625,Myra Jain,Ahmedabad,PayPal,Pending
ORD148,09-05-2018,Headphones,Electronics,2500,3000,4,12000,Ananya Patel,Chennai,Amazon Pay,Cancelled
ORD149,09-05-2018,Running Shoes,Footwear,2250,2925,3,8775,Shruti Reddy,Jaipur,Gift Card,Pending
ORD150,09-05-2018,Book,Books,200,230,4,920,Tanish Menon,Lucknow,Gift Card,Cancelled
ORD151,11-05-2018,Washing Machine,Home Appliances,16000,19200,4,76800,Kabir Patel,Chennai,Amazon Pay,Pending
ORD152,11-05-2018,Smartwatch,Electronics,2000,2450,1,2450,Divya Reddy,Jaipur,Gift Card,Completed
ORD153,11-05-2018,Smartwatch,Electronics,2000,2450,5,12250,Tathya Menon,Lucknow,PayPal,Pending
ORD154,12-05-2018,Headphones,Electronics,2500,3000,2,6000,Lara Gupta,Delhi,Debit Card,Completed
ORD155,12-05-2018,Refrigerator,Home Appliances,20000,23000,4,92000,Aditi Singh,Mumbai,Credit Card,Pending
ORD156,12-05-2018,Smartwatch,Electronics,2000,2450,4,9800,Parth Patel,Chennai,PayPal,Cancelled
ORD157,15-05-2018,Smartphone,Electronics,5991,6679.97,3,20039.91,Varun Singh,Mumbai,Credit Card,Pending
ORD158,15-05-2018,Laptop,Electronics,37500,44062.5,3,132187.5,Tanish Menon,Lucknow,Debit Card,Pending
ORD159,19-05-2018,T-Shirt,Clothing,749,1160.95,2,2321.9,Daksh Sharma,Bengaluru,Gift Card,Cancelled
ORD160,20-05-2018,Washing Machine,Home Appliances,16000,19200,3,57600,Aryan Patel,Chennai,Gift Card,Cancelled
ORD161,20-05-2018,Headphones,Electronics,2500,3000,1,3000,Disha Jain,Ahmedabad,Credit Card,Completed
ORD162,20-05-2018,Smartphone,Electronics,5991,6679.97,2,13359.94,Dhruv Yadav,Pune,Credit Card,Completed
ORD163,21-05-2018,Running Shoes,Footwear,2250,2925,2,5850,Trisha Kumar,Kolkata,PayPal,Completed
ORD164,22-05-2018,Smartwatch,Electronics,2000,2450,5,12250,Jatin Jain,Ahmedabad,Debit Card,Pending
ORD165,22-05-2018,Book,Books,200,230,1,230,Meher Sharma,Bengaluru,Amazon Pay,Pending
ORD166,22-05-2018,Washing Machine,Home Appliances,16000,19200,4,76800,Uday Desai,Hyderabad,Credit Card,Pending
ORD167,23-05-2018,Refrigerator,Home Appliances,20000,23000,2,46000,Hrehaan Menon,Lucknow,Credit Card,Completed
ORD168,25-05-2018,Laptop,Electronics,37500,44062.5,5,220312.5,Ananya Patel,Chennai,Debit Card,Pending
ORD169,28-05-2018,Refrigerator,Home Appliances,20000,23000,2,46000,Aditi Singh,Mumbai,PayPal,Completed
ORD170,28-05-2018,Laptop,Electronics,37500,44062.5,1,44062.5,Avani Desai,Hyderabad,Gift Card,Pending
ORD171,29-05-2018,Smartwatch,Electronics,2000,2450,2,4900,Mishka Patel,Chennai,PayPal,Completed
ORD172,29-05-2018,Book,Books,200,230,1,230,Ananya Patel,Chennai,Debit Card,Cancelled
ORD173,30-05-2018,Refrigerator,Home Appliances,20000,23000,1,23000,Mishka Patel,Chennai,PayPal,Completed
ORD174,30-05-2018,Smartwatch,Electronics,2000,2450,2,4900,Vidhi Gupta,Delhi,Debit Card,Pending
ORD175,04-06-2018,Jeans,Clothing,1600,2320,5,11600,Yashvi Gupta,Delhi,Debit Card,Cancelled
ORD176,04-06-2018,Book,Books,200,230,1,230,Myra Jain,Ahmedabad,Amazon Pay,Completed
ORD177,04-06-2018,Book,Books,200,230,5,1150,Tathya Menon,Lucknow,Credit Card,Pending
ORD178,04-06-2018,Smartphone,Electronics,5991,6679.97,3,20039.91,Aryan Patel,Chennai,PayPal,Completed
ORD179,05-06-2018,Jeans,Clothing,1600,2320,1,2320,Tejas Patel,Chennai,PayPal,Cancelled
ORD180,07-06-2018,Refrigerator,Home Appliances,20000,23000,3,69000,Falguni Patel,Chennai,Gift Card,Completed
ORD181,09-06-2018,Running Shoes,Footwear,2250,2925,2,5850,Vrinda Singh,Mumbai,Debit Card,Cancelled
ORD182,09-06-2018,T-Shirt,Clothing,749,1160.95,5,5804.75,Kabir Patel,Chennai,PayPal,Completed
ORD183,11-06-2018,Washing Machine,Home Appliances,16000,19200,1,19200,Xylo Kumar,Kolkata,Debit Card,Pending
ORD184,11-06-2018,Book,Books,200,230,5,1150,Eva Jain,Ahmedabad,Debit Card,Pending
ORD185,11-06-2018,T-Shirt,Clothing,749,1160.95,1,1160.95,Kiara Kumar,Kolkata,Debit Card,Completed
ORD186,13-06-2018,Washing Machine,Home Appliances,16000,19200,4,76800,Deepika Singh,Mumbai,PayPal,Completed
ORD187,14-06-2018,Laptop,Electronics,37500,44062.5,3,132187.5,Jatin Jain,Ahmedabad,PayPal,Pending
ORD188,14-06-2018,Book,Books,200,230,1,230,Rashi Yadav,Pune,Amazon Pay,Completed
ORD189,16-06-2018,Laptop,Electronics,37500,44062.5,3,132187.5,Vrinda Singh,Mumbai,Amazon Pay,Completed
ORD190,16-06-2018,Running Shoes,Footwear,2250,2925,1,2925,Zara Menon,Lucknow,PayPal,Completed
ORD191,17-06-2018,Jeans,Clothing,1600,2320,4,9280,Palak Kumar,Kolkata,Amazon Pay,Pending
ORD192,17-06-2018,Headphones,Electronics,2500,3000,3,9000,Lakshya Menon,Lucknow,Gift Card,Pending
ORD193,18-06-2018,Book,Books,200,230,5,1150,Neel Singh,Mumbai,Amazon Pay,Pending
ORD194,18-06-2018,Jeans,Clothing,1600,2320,4,9280,Lara Gupta,Delhi,Debit Card,Cancelled
ORD195,19-06-2018,Smartphone,Electronics,5991,6679.97,3,20039.91,Rishabh Patel,Chennai,Gift Card,Cancelled
ORD196,19-06-2018,Headphones,Electronics,2500,3000,5,15000,Rohan Desai,Hyderabad,Debit Card,Pending
ORD197,19-06-2018,Running Shoes,Footwear,2250,2925,2,5850,Shruti Reddy,Jaipur,Gift Card,Completed
ORD198,21-06-2018,Laptop,Electronics,37500,44062.5,4,176250,Tanish Menon,Lucknow,Amazon Pay,Pending
ORD199,21-06-2018,Smartphone,Electronics,5991,6679.97,3,20039.91,Aaradhya Sharma,Bengaluru,Credit Card,Completed
ORD200,22-06-2018,Book,Books,200,230,2,460,Samar Reddy,Jaipur,Debit Card,Completed
ORD201,22-06-2018,Book,Books,200,230,4,920,Kiara Kumar,Kolkata,Credit Card,Completed
ORD202,23-06-2018,Smartphone,Electronics,5991,6679.97,2,13359.94,Avni Kumar,Kolkata,Credit Card,Cancelled
ORD203,25-06-2018,Refrigerator,Home Appliances,20000,23000,3,69000,Zoya Kumar,Kolkata,Debit Card,Completed
ORD204,25-06-2018,Running Shoes,Footwear,2250,2925,5,14625,Shruti Reddy,Jaipur,Gift Card,Pending
ORD205,27-06-2018,Headphones,Electronics,2500,3000,2,6000,Daksh Sharma,Bengaluru,PayPal,Completed
ORD206,27-06-2018,Washing Machine,Home Appliances,16000,19200,5,96000,Divya Reddy,Jaipur,Amazon Pay,Pending
ORD207,27-06-2018,Washing Machine,Home Appliances,16000,19200,1,19200,Shlok Jain,Ahmedabad,Credit Card,Completed
ORD208,29-06-2018,Refrigerator,Home Appliances,20000,23000,3,69000,Aarav Sharma,Bengaluru,PayPal,Completed
ORD209,01-07-2018,Jeans,Clothing,1600,2320,5,11600,Disha Jain,Ahmedabad,PayPal,Completed
ORD210,02-07-2018,Laptop,Electronics,37500,44062.5,3,132187.5,Shlok Jain,Ahmedabad,PayPal,Completed
ORD211,03-07-2018,Smartphone,Electronics,5991,6679.97,1,6679.97,Yashvi Gupta,Delhi,Gift Card,Pending
ORD212,03-07-2018,T-Shirt,Clothing,749,1160.95,4,4643.8,Gaurav Sharma,Bengaluru,Debit Card,Completed
ORD213,03-07-2018,Laptop,Electronics,37500,44062.5,1,44062.5,Meher Sharma,Bengaluru,Amazon Pay,Cancelled
ORD214,04-07-2018,Smartwatch,Electronics,2000,2450,5,12250,Disha Jain,Ahmedabad,Debit Card,Completed
ORD215,05-07-2018,Running Shoes,Footwear,2250,2925,1,2925,Trisha Kumar,Kolkata,PayPal,Completed
ORD216,06-07-2018,Jeans,Clothing,1600,2320,2,4640,Trisha Kumar,Kolkata,Credit Card,Completed
ORD217,07-07-2018,Running Shoes,Footwear,2250,2925,2,5850,Tanvi Gupta,Delhi,Gift Card,Pending
ORD218,07-07-2018,Headphones,Electronics,2500,3000,4,12000,Arjun Kumar,Kolkata,Gift Card,Cancelled
ORD219,08-07-2018,Headphones,Electronics,2500,3000,3,9000,Aaradhya Sharma,Bengaluru,PayPal,Cancelled
ORD220,09-07-2018,Smartwatch,Electronics,2000,2450,3,7350,Saisha Jain,Ahmedabad,Debit Card,Completed
ORD221,10-07-2018,Washing Machine,Home Appliances,16000,19200,2,38400,Ayush Yadav,Pune,Gift Card,Cancelled
ORD222,11-07-2018,Washing Machine,Home Appliances,16000,19200,2,38400,Eklavya Gupta,Delhi,PayPal,Cancelled
ORD223,11-07-2018,Jeans,Clothing,1600,2320,2,4640,Deepika Singh,Mumbai,Amazon Pay,Cancelled
ORD224,11-07-2018,Refrigerator,Home Appliances,20000,23000,1,23000,Ishaan Singh,Mumbai,PayPal,Completed
ORD225,12-07-2018,Jeans,Clothing,1600,2320,1,2320,Tejas Patel,Chennai,Gift Card,Cancelled
ORD226,12-07-2018,Running Shoes,Footwear,2250,2925,4,11700,Tanvi Gupta,Delhi,Amazon Pay,Completed
ORD227,12-07-2018,Headphones,Electronics,2500,3000,5,15000,Eva Jain,Ahmedabad,Amazon Pay,Cancelled
ORD228,13-07-2018,Running Shoes,Footwear,2250,2925,1,2925,Prisha Gupta,Delhi,Credit Card,Pending
ORD229,13-07-2018,Running Shoes,Footwear,2250,2925,3,8775,Vrinda Singh,Mumbai,Credit Card,Pending
ORD230,14-07-2018,Headphones,Electronics,2500,3000,4,12000,Shlok Jain,Ahmedabad,Amazon Pay,Pending
ORD231,15-07-2018,Laptop,Electronics,37500,44062.5,5,220312.5,Vanya Yadav,Pune,Credit Card,Cancelled
